,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-01-02,286.44,288.63,286.15,288.62,279.939797891,3864655,0.0,1.0
2020-01-03,285.34,287.11,285.18,286.32,277.708970037,3296672,0.0,1.0
2020-01-06,284.29,287.03,284.16,286.98,278.349120639,1645022,0.0,1.0
2020-01-07,286.3,286.79,285.58,285.74,277.146413448,1413199,0.0,1.0
2020-01-08,285.32,288.67,285.08,287.4,278.756489203,3136106,0.0,1.0
2020-01-09,288.95,289.84,288.43,289.56,280.851527536,1782711,0.0,1.0
2020-01-10,289.96,290.04,287.84,288.24,279.571226333,2989455,0.0,1.0
2020-01-13,288.79,289.08,288.14,289.02,280.327767953,1463092,0.0,1.0
2020-01-14,288.87,290.49,288.72,289.22,280.521752983,2197333,0.0,1.0
2020-01-15,289.01,291.24,288.95,290.35,281.617768407,2193561,0.0,1.0
2020-01-16,291.63,292.97,291.47,292.93,284.120175304,2513858,0.0,1.0
2020-01-17,293.52,293.61,292.79,293.27,284.584265092,2146223,0.1385,1.0
2020-01-21,292.44,293.28,291.37,291.83,283.186913362,4474558,0.0,1.0
2020-01-22,292.5,293.07,291.58,291.81,283.167505699,2072695,0.0,1.0
2020-01-23,290.75,291.86,289.6,291.54,282.90550225,1869049,0.0,1.0
2020-01-24,292.54,292.77,288.34,289.8,281.217035577,3609031,0.0,1.0
2020-01-27,284.85,286.65,283.86,285.36,276.90853441,4123178,0.0,1.0
2020-01-28,286.22,288.19,285.75,287.29,278.781373881,2988983,0.0,1.0
2020-01-29,288.99,289.28,287.21,287.29,278.781373881,2124438,0.0,1.0
2020-01-30,285.67,288.77,284.85,288.54,279.994352813,3409618,0.0,1.0
2020-01-31,286.96,287.23,281.61,282.42,274.055607963,4883200,0.0,1.0
2020-02-03,283.69,286.26,283.5,283.98,275.56940567,3155586,0.0,1.0
2020-02-04,287.68,289.0,287.42,288.04,279.50916124,2990291,0.0,1.0
2020-02-05,290.76,293.04,289.95,292.86,284.186408002,3289446,0.0,1.0
2020-02-06,294.02,294.14,292.45,293.74,285.04034517,2835054,0.0,1.0
2020-02-07,292.76,292.81,290.66,291.19,282.565868149,3837968,0.0,1.0
2020-02-10,290.2,292.96,290.16,292.95,284.273742485,2847574,0.0,1.0
2020-02-11,294.35,294.42,292.28,292.94,284.264038654,1989849,0.0,1.0
2020-02-12,294.63,295.87,294.53,295.72,286.961703798,2766821,0.0,1.0
2020-02-13,294.39,295.84,293.92,294.82,286.088358967,2629860,0.0,1.0
2020-02-14,294.97,295.13,293.4,294.54,285.816651686,1860586,0.0,1.0
2020-02-18,293.15,293.88,291.76,292.95,284.273742485,2396659,0.0,1.0
2020-02-19,293.77,294.72,293.39,294.1,285.389683102,1457384,0.0,1.0
2020-02-20,293.56,294.29,290.17,292.78,284.10877735,3486304,0.0,1.0
2020-02-21,290.8,291.05,288.75,289.74,281.938903599,3271763,0.8039,1.0
2020-02-24,280.33,282.78,278.97,279.56,272.032994719,6564916,0.0,1.0
2020-02-25,280.8,281.36,269.88,270.7,263.411545538,9848504,0.0,1.0
2020-02-26,271.99,275.31,268.83,269.74,262.477393031,7468934,0.0,1.0
2020-02-27,264.86,267.73,257.39,257.5,250.566948563,11131481,0.0,1.0
2020-02-28,250.52,255.12,247.0,254.56,247.706106509,17538982,0.0,1.0
2020-03-02,256.71,267.25,254.06,267.03,259.840358349,8505526,0.0,1.0
2020-03-03,267.8,271.02,257.18,259.3,252.318484514,11459799,0.0,1.0
2020-03-04,265.45,271.11,262.96,270.89,263.596429888,5394677,0.0,1.0
2020-03-05,264.27,266.53,259.56,261.46,254.420327655,5839648,0.0,1.0
2020-03-06,253.67,260.1,252.43,258.85,251.880600526,7369560,0.0,1.0
2020-03-09,241.5,247.07,237.17,238.72,232.29259014,10305604,0.0,1.0
2020-03-10,247.29,250.54,237.09,250.47,243.726227598,9374063,0.0,1.0
2020-03-11,243.54,244.91,233.6,235.84,229.490132618,7670053,0.0,1.0
2020-03-12,220.5,229.0,211.83,212.11,206.399050329,17153290,0.0,1.0
2020-03-13,225.65,232.48,213.29,232.11,225.860560897,13646380,0.0,1.0
2020-03-16,206.5,218.31,201.51,202.49,197.038063746,12316034,0.0,1.0
2020-03-17,207.01,214.47,199.35,213.47,207.722433048,15958057,0.0,1.0
2020-03-18,199.07,205.44,189.67,199.39,194.021529608,13255981,0.0,1.0
2020-03-19,198.37,204.98,192.32,201.31,195.889834622,13502671,0.0,1.0
2020-03-20,203.29,205.29,191.0,191.9,187.318819945,12180607,0.6018,1.0
2020-03-23,190.13,191.2,182.1,186.13,181.686565693,15616106,0.0,1.0
2020-03-24,196.27,207.21,196.21,206.64,201.706935662,13977541,0.0,1.0
2020-03-25,210.57,220.17,205.32,212.06,206.997545376,17460031,0.0,1.0
2020-03-26,214.43,225.87,214.01,225.07,219.696960944,15983193,0.0,1.0
2020-03-27,217.61,223.26,214.57,216.35,211.185131293,10529636,0.0,1.0
2020-03-30,217.36,223.72,215.1,223.1,217.773990254,7664841,0.0,1.0
2020-03-31,221.95,224.75,218.44,219.23,213.996377783,8366304,0.0,1.0
2020-04-01,210.65,214.78,207.77,209.38,204.381524336,8524846,0.0,1.0
2020-04-02,208.31,214.79,207.18,213.96,208.852187157,8171561,0.0,1.0
2020-04-03,212.73,214.55,208.69,210.6,205.572399585,6661535,0.0,1.0
2020-04-06,218.95,227.91,218.12,226.53,221.122106734,10268098,0.0,1.0
2020-04-07,235.46,236.16,226.45,226.6,221.190435641,10791528,0.0,1.0
2020-04-08,229.14,235.25,226.84,234.33,228.735899311,6928384,0.0,1.0
2020-04-09,237.84,240.19,235.11,237.14,231.478816893,9389402,0.0,1.0
2020-04-13,236.41,236.69,230.96,233.96,228.374732227,6732379,0.0,1.0
2020-04-14,238.7,240.47,236.88,239.68,233.958180117,5343478,0.0,1.0
2020-04-15,234.48,236.58,232.39,235.08,229.467994751,6784161,0.0,1.0
2020-04-16,235.7,236.06,232.18,235.34,229.721787837,5903576,0.0,1.0
2020-04-17,241.6,242.66,238.25,242.43,236.76960231,5916292,0.1302,1.0
2020-04-20,238.24,241.11,236.26,236.64,231.114790623,7317072,0.0,1.0
2020-04-21,231.33,233.34,229.41,230.22,224.844688544,6539807,0.0,1.0
2020-04-22,234.4,236.27,233.39,234.77,229.288452478,4307070,0.0,1.0
2020-04-23,235.51,238.92,234.83,235.07,229.581447903,6335438,0.0,1.0
2020-04-24,236.61,238.33,234.2,237.83,232.277005805,3568425,0.0,1.0
2020-04-27,239.12,242.19,238.45,241.32,235.68551924,3617010,0.0,1.0
2020-04-28,245.01,245.16,240.36,241.09,235.460889415,4674359,0.0,1.0
2020-04-29,245.48,247.67,244.2,246.45,240.695740995,4925606,0.0,1.0
2020-04-30,244.2,245.17,241.91,243.22,237.541156927,4841669,0.0,1.0
2020-05-01,239.58,240.33,236.5,237.28,231.739847528,4720171,0.0,1.0
2020-05-04,235.21,237.75,233.64,237.42,231.876578726,3830376,0.0,1.0
2020-05-05,240.02,241.74,238.7,238.8,233.224357677,3123783,0.0,1.0
2020-05-06,240.34,240.54,236.6,236.86,231.329653934,3040455,0.0,1.0
2020-05-07,239.24,241.18,238.55,238.91,233.331789333,3369035,0.0,1.0
2020-05-08,242.27,243.8,241.34,243.62,237.931817493,3894741,0.0,1.0
2020-05-11,241.68,243.94,241.0,242.56,236.896566994,2722536,0.0,1.0
2020-05-12,243.81,244.14,237.94,238.08,232.521168659,6343111,0.0,1.0
2020-05-13,236.96,237.5,231.02,232.82,227.383982221,7481493,0.0,1.0
2020-05-14,230.08,236.76,228.3,236.75,231.222222278,6936383,0.0,1.0
2020-05-15,234.16,237.25,233.41,236.91,231.82997292,4808476,0.4623,1.0
2020-05-18,243.51,247.2,243.36,245.93,240.656558357,5194964,0.0,1.0
2020-05-19,245.45,246.02,242.07,242.22,237.026111353,4371898,0.0,1.0
2020-05-20,245.4,246.58,244.73,245.73,240.460846928,3266790,0.0,1.0
2020-05-21,245.55,247.38,243.88,245.02,239.766071356,3348974,0.0,1.0
