,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-01-02,214.4,216.16,213.98,216.16,213.874412626,31014904,0.0,1.0
2020-01-03,213.3,215.47,213.28,214.18,211.915348336,27532657,0.0,1.0
2020-01-06,212.49,215.59,212.24,215.56,213.280756781,21726989,0.0,1.0
2020-01-07,215.64,216.14,214.85,215.53,213.251073988,23120994,0.0,1.0
2020-01-08,215.5,218.14,215.16,217.15,214.853944771,26464212,0.0,1.0
2020-01-09,218.94,219.41,217.71,218.99,216.674489364,23641291,0.0,1.0
2020-01-10,219.85,219.87,218.04,218.43,216.120410575,21914631,0.0,1.0
2020-01-13,219.33,220.98,218.98,220.95,218.613765127,22528847,0.0,1.0
2020-01-14,220.84,221.21,219.74,220.08,217.75296415,24573340,0.0,1.0
2020-01-15,220.2,221.2,219.45,220.17,217.842012527,25742084,0.0,1.0
2020-01-16,221.27,222.32,220.8,222.28,219.929702251,18804959,0.0,1.0
2020-01-17,223.28,223.56,222.12,223.38,221.018071301,24325167,0.0,1.0
2020-01-21,222.76,223.84,222.66,223.28,220.91912866,20813609,0.0,1.0
2020-01-22,224.41,225.15,223.59,223.87,221.502890242,20736403,0.0,1.0
2020-01-23,223.74,224.69,222.7,224.59,222.215277256,26496113,0.0,1.0
2020-01-24,225.64,225.88,221.67,222.7,220.345261343,37436483,0.0,1.0
2020-01-27,217.67,219.28,217.18,218.1,215.79389986,42264418,0.0,1.0
2020-01-28,219.64,221.96,219.06,221.45,219.108478331,26731876,0.0,1.0
2020-01-29,222.68,222.93,220.83,221.81,219.464671838,29063128,0.0,1.0
2020-01-30,220.38,222.7,219.69,222.6,220.246318702,39568093,0.0,1.0
2020-01-31,223.53,223.56,218.29,219.07,216.753643477,52015832,0.0,1.0
2020-02-03,220.14,222.89,219.99,222.38,220.028644892,25468307,0.0,1.0
2020-02-04,225.42,227.86,224.65,227.47,225.064825315,30691211,0.0,1.0
2020-02-05,230.21,230.25,226.85,228.22,225.806895122,38534817,0.0,1.0
2020-02-06,228.79,230.25,227.98,230.19,227.756065148,22467077,0.0,1.0
2020-02-07,229.16,230.44,228.54,229.2,226.776533003,25884933,0.0,1.0
2020-02-10,228.44,231.98,228.38,231.97,229.517244157,21478925,0.0,1.0
2020-02-11,233.25,234.02,231.4,232.01,229.556821213,30197983,0.0,1.0
2020-02-12,233.38,234.38,232.8,234.27,231.792924898,24471275,0.0,1.0
2020-02-13,232.64,234.93,232.36,233.97,231.496096975,22773159,0.0,1.0
2020-02-14,234.34,234.86,233.55,234.64,232.159012669,23438530,0.0,1.0
2020-02-18,233.5,235.17,233.25,234.73,232.248061046,24521242,0.0,1.0
2020-02-19,236.13,237.47,235.85,236.98,234.474270467,22230464,0.0,1.0
2020-02-20,236.46,236.95,231.88,234.78,232.297532367,42604016,0.0,1.0
2020-02-21,233.61,234.01,229.32,230.27,227.835219261,66058611,0.0,1.0
2020-02-24,221.68,224.25,220.26,221.39,219.049112747,84522551,0.0,1.0
2020-02-25,223.25,223.99,214.74,215.37,213.092765763,97742982,0.0,1.0
2020-02-26,216.71,220.28,214.9,216.48,214.191029077,80400053,0.0,1.0
2020-02-27,210.9,216.42,205.5,205.64,203.465646801,121822562,0.0,1.0
2020-02-28,198.64,207.17,198.17,205.8,203.623955026,149247073,0.0,1.0
2020-03-02,208.88,216.57,205.94,216.42,214.131663493,112933945,0.0,1.0
2020-03-03,217.11,219.61,207.62,209.48,207.265044212,131953546,0.0,1.0
2020-03-04,213.32,218.33,211.37,218.22,215.912631029,73086209,0.0,1.0
2020-03-05,212.69,216.36,210.1,211.59,209.352733936,78705458,0.0,1.0
2020-03-06,204.67,209.15,202.91,208.02,205.820481655,89828392,0.0,1.0
2020-03-09,193.48,201.16,192.11,193.57,191.523270041,116423986,0.0,1.0
2020-03-10,201.11,204.3,193.68,204.11,201.951824395,100599233,0.0,1.0
2020-03-11,199.35,200.75,192.73,195.22,193.155823616,89168783,0.0,1.0
2020-03-12,182.09,190.78,176.94,177.32,175.44509089,137820698,0.0,1.0
2020-03-13,187.07,194.48,178.13,192.34,190.306275558,134881981,0.0,1.0
2020-03-16,174.15,184.68,169.16,169.3,167.509891088,92054386,0.0,1.0
2020-03-17,175.47,184.39,169.78,182.14,180.214126183,121257108,0.0,1.0
2020-03-18,171.61,179.22,166.8,176.6,174.732703876,114156320,0.0,1.0
2020-03-19,175.69,183.49,171.63,177.66,175.78149587,120896481,0.0,1.0
2020-03-20,181.74,182.87,170.1,170.7,168.895088061,118983891,0.0,1.0
2020-03-23,170.92,174.21,164.93,170.46,169.016480787,124639782,0.3627,1.0
2020-03-24,179.91,183.83,177.95,183.66,182.104698236,94881785,0.0,1.0
2020-03-25,184.42,189.51,179.98,182.3,180.756215227,88754909,0.0,1.0
2020-03-26,183.87,192.72,183.61,191.9,190.274918826,79887564,0.0,1.0
2020-03-27,186.93,190.51,184.66,185.3,183.730810101,58844975,0.0,1.0
2020-03-30,187.1,192.49,186.34,192.04,190.413733253,49356936,0.0,1.0
2020-03-31,191.72,195.25,189.2,190.4,188.787621389,62659265,0.0,1.0
2020-04-01,184.77,187.66,180.86,182.31,180.766130543,53715375,0.0,1.0
2020-04-02,181.24,190.1,180.97,186.01,184.434797555,56465348,0.0,1.0
2020-04-03,185.55,187.07,181.29,183.37,181.817154065,47487621,0.0,1.0
2020-04-06,190.48,197.65,189.19,196.48,194.816133668,64763518,0.0,1.0
2020-04-07,202.37,202.66,196.0,196.4,194.736811138,69904478,0.0,1.0
2020-04-08,198.15,201.17,196.17,200.57,198.871498014,45940439,0.0,1.0
2020-04-09,202.35,203.22,199.03,200.86,199.159042185,68323929,0.0,1.0
2020-04-13,200.0,203.42,198.75,203.03,201.310665812,42853948,0.0,1.0
2020-04-14,207.23,212.5,206.42,211.86,210.06589006,63959563,0.0,1.0
2020-04-15,208.48,211.83,207.12,209.43,207.656468211,47035953,0.0,1.0
2020-04-16,211.69,214.37,209.69,213.25,211.444119018,64657362,0.0,1.0
2020-04-17,216.17,216.51,212.08,215.29,213.466843533,62863223,0.0,1.0
