,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-01-02,323.54,324.89,322.53,324.87,315.688198302,59037072,0.0,1.0
2020-01-03,321.16,323.64,321.1,322.41,313.297725289,77708081,0.0,1.0
2020-01-06,320.49,323.73,320.36,323.64,314.492961796,55596982,0.0,1.0
2020-01-07,323.02,323.54,322.24,322.73,313.608681128,40461249,0.0,1.0
2020-01-08,322.94,325.78,322.67,324.45,315.280068764,68177241,0.0,1.0
2020-01-09,326.16,326.73,325.52,326.65,317.417890158,48421935,0.0,1.0
2020-01-10,327.29,327.46,325.2,325.71,316.50445738,53028660,0.0,1.0
2020-01-13,326.39,327.96,325.92,327.95,318.681148254,47026115,0.0,1.0
2020-01-14,327.47,328.62,326.84,327.45,318.195279755,62784185,0.0,1.0
2020-01-15,327.35,329.02,327.26,328.19,318.914365133,71870739,0.0,1.0
2020-01-16,329.7,330.92,329.45,330.92,321.567207136,53788867,0.0,1.0
2020-01-17,331.7,332.18,330.85,331.95,322.568096243,95778839,0.0,1.0
2020-01-21,330.9,332.18,330.82,331.3,321.936467195,77624157,0.0,1.0
2020-01-22,332.24,332.95,331.17,331.34,321.975336675,48705035,0.0,1.0
2020-01-23,330.63,332.17,329.41,331.72,322.344596734,51828259,0.0,1.0
2020-01-24,332.44,332.53,327.36,328.77,319.477972592,87465785,0.0,1.0
2020-01-27,323.03,325.12,322.66,323.5,314.356918616,83797934,0.0,1.0
2020-01-28,325.06,327.85,323.6,326.89,317.651107037,63519891,0.0,1.0
2020-01-29,328.38,328.63,326.4,326.62,317.388738048,53714641,0.0,1.0
2020-01-30,324.36,327.91,323.54,327.68,318.418779265,75184385,0.0,1.0
2020-01-31,327.0,327.17,320.73,321.73,312.636944131,113659402,0.0,1.0
2020-02-03,323.35,326.16,323.22,324.12,314.959395555,68931216,0.0,1.0
2020-02-04,328.07,330.01,327.72,329.06,319.759776321,61704740,0.0,1.0
2020-02-05,332.27,333.09,330.67,332.86,323.452376911,64864742,0.0,1.0
2020-02-06,333.91,334.19,332.8,333.98,324.540722348,49982975,0.0,1.0
2020-02-07,332.82,333.99,331.6,332.2,322.811030492,64074382,0.0,1.0
2020-02-10,331.23,334.75,331.19,334.68,325.220938246,41779456,0.0,1.0
2020-02-11,336.16,337.02,334.68,335.26,325.784545704,54773045,0.0,1.0
2020-02-12,336.83,337.65,336.43,337.42,327.883497618,42844434,0.0,1.0
2020-02-13,335.86,338.12,335.56,337.06,327.533672299,54038002,0.0,1.0
2020-02-14,337.51,337.73,336.2,337.6,328.058410278,64518123,0.0,1.0
2020-02-18,336.51,337.67,335.21,336.73,327.21299909,57195407,0.0,1.0
2020-02-19,337.79,339.08,337.48,338.34,328.777495656,48587393,0.0,1.0
2020-02-20,337.74,338.64,333.68,336.95,327.426781229,73891268,0.0,1.0
2020-02-21,335.47,335.81,332.58,333.48,324.054853849,113656552,0.0,1.0
2020-02-24,323.14,333.56,321.24,322.42,313.307442659,160991237,0.0,1.0
2020-02-25,323.94,324.61,311.69,312.65,303.813572196,217564684,0.0,1.0
2020-02-26,314.18,318.11,310.7,311.5,302.696074649,192818004,0.0,1.0
2020-02-27,305.46,311.56,297.51,297.51,289.101474057,282544492,0.0,1.0
2020-02-28,288.7,297.89,285.54,296.26,287.886802811,384911854,0.0,1.0
2020-03-02,298.21,309.16,294.46,309.09,300.354188486,237377617,0.0,1.0
2020-03-03,309.5,313.84,297.57,300.24,291.75431606,298851919,0.0,1.0
2020-03-04,306.12,313.1,303.33,312.86,304.017636965,175893889,0.0,1.0
2020-03-05,304.98,308.47,300.01,302.46,293.911572194,185533970,0.0,1.0
2020-03-06,293.15,298.78,290.23,297.46,289.052887207,228315219,0.0,1.0
2020-03-09,275.3,284.19,273.45,274.23,266.479436761,305980554,0.0,1.0
2020-03-10,284.64,288.52,273.5,288.42,280.268384752,274894230,0.0,1.0
2020-03-11,280.7,281.94,270.88,274.36,266.60576257,254604444,0.0,1.0
2020-03-12,256.0,266.66,247.68,248.11,241.097666392,389612072,0.0,1.0
2020-03-13,263.09,271.48,248.52,269.32,261.708208104,326142197,0.0,1.0
2020-03-16,241.18,256.9,237.36,239.85,233.071118795,295019288,0.0,1.0
2020-03-17,245.04,256.17,237.07,252.8,245.655112909,260566279,0.0,1.0
2020-03-18,236.25,248.37,228.02,240.0,233.216879344,324845381,0.0,1.0
2020-03-19,239.25,247.38,232.22,240.51,233.712465213,288124389,0.0,1.0
2020-03-20,242.53,244.47,228.5,228.8,223.699258657,344276957,1.4056,1.0
2020-03-23,228.19,229.68,218.26,222.95,217.979675339,323100167,0.0,1.0
2020-03-24,234.42,244.1,233.8,243.15,237.729347651,233038623,0.0,1.0
2020-03-25,244.87,256.35,239.75,246.79,241.288199493,297989659,0.0,1.0
2020-03-26,249.52,262.8,249.05,261.2,255.376950879,256107410,0.0,1.0
2020-03-27,253.27,260.81,251.05,253.42,247.77039392,223871285,0.0,1.0
2020-03-30,255.7,262.43,253.53,261.65,255.816918827,171274407,0.0,1.0
2020-03-31,260.56,263.33,256.22,257.75,252.003863282,193290928,0.0,1.0
2020-04-01,247.98,257.66,243.9,246.15,240.662467301,188373330,0.0,1.0
2020-04-02,245.19,252.68,244.59,251.83,246.215840505,176669824,0.0,1.0
2020-04-03,250.76,253.32,245.22,248.19,242.656988663,134538553,0.0,1.0
2020-04-06,257.84,267.0,248.17,264.86,258.955356853,186692564,0.0,1.0
2020-04-07,274.21,275.03,264.89,265.13,259.219337621,199187791,0.0,1.0
2020-04-08,267.96,276.0,265.25,274.03,267.920925917,152670223,0.0,1.0
2020-04-09,277.58,281.2,275.47,278.2,271.997962231,189948139,0.0,1.0
2020-04-13,277.14,277.51,271.41,275.66,269.514587594,114353986,0.0,1.0
2020-04-14,280.98,284.9,275.51,283.79,277.463341846,133510280,0.0,1.0
2020-04-15,277.57,283.94,275.46,277.76,271.567771349,121155983,0.0,1.0
2020-04-16,279.15,280.03,275.76,279.1,272.877898126,126144324,0.0,1.0
2020-04-17,285.38,287.3,282.4,286.64,280.249805513,146455688,0.0,1.0
2020-04-20,282.61,286.79,281.35,281.59,275.312387436,99323028,0.0,1.0
2020-04-21,276.73,278.04,272.02,273.04,266.952996432,125772551,0.0,1.0
2020-04-22,278.35,281.0,276.91,279.1,272.877898126,92831657,0.0,1.0
2020-04-23,280.49,283.94,278.75,279.08,272.858343995,103685412,0.0,1.0
2020-04-24,280.73,283.7,278.5,282.97,276.661622475,85042563,0.0,1.0
2020-04-27,285.12,288.27,284.62,287.05,280.650665199,77516422,0.0,1.0
2020-04-28,291.02,291.4,285.4,285.73,279.360092553,104797847,0.0,1.0
2020-04-29,291.53,294.88,290.41,293.21,286.673337547,118066585,0.0,1.0
2020-04-30,291.71,293.32,288.59,290.48,284.004198666,121537052,0.0,1.0
2020-05-01,285.31,290.66,281.52,282.79,276.485635296,125045778,0.0,1.0
2020-05-04,280.74,283.9,279.13,283.57,277.248246405,80462952,0.0,1.0
2020-05-05,286.64,289.25,283.71,286.19,279.809837566,79199214,0.0,1.0
2020-05-06,288.04,288.46,283.78,284.25,277.913086859,72980387,0.0,1.0
2020-05-07,287.75,289.78,287.13,287.68,281.266620325,74788296,0.0,1.0
2020-05-08,291.09,292.95,289.86,292.44,285.920503504,76446082,0.0,1.0
2020-05-11,290.34,294.0,289.88,292.5,285.979165897,78982891,0.0,1.0
2020-05-12,293.79,294.24,286.52,286.67,280.27913671,94484342,0.0,1.0
2020-05-13,286.06,287.19,278.96,281.6,275.322164501,144035915,0.0,1.0
2020-05-14,278.95,285.11,272.99,284.97,278.617035575,121473094,0.0,1.0
2020-05-15,282.37,286.33,281.34,286.28,279.897831155,111015834,0.0,1.0
2020-05-18,293.05,296.75,292.7,295.0,288.423432272,119719465,0.0,1.0
2020-05-19,294.35,296.21,291.95,291.97,285.460981425,94317356,0.0,1.0
2020-05-20,295.82,297.87,295.57,296.93,290.310405914,85279592,0.0,1.0
2020-05-21,296.79,297.67,293.69,294.88,288.306107486,77863922,0.0,1.0
2020-05-22,294.57,295.63,293.22,295.44,288.853623154,63697627,0.0,1.0
2020-05-26,301.93,302.19,295.46,299.08,292.412474996,88604807,0.0,1.0
2020-05-27,302.12,303.57,296.87,303.53,296.763269144,104086252,0.0,1.0
2020-05-28,304.65,306.84,302.24,302.97,296.215753476,90232213,0.0,1.0
2020-05-29,302.46,304.96,299.47,304.32,297.535657319,119067393,0.0,1.0
2020-06-01,303.62,306.21,303.06,305.55,298.738236375,55696013,0.0,1.0
2020-06-02,306.55,308.13,305.1,308.08,301.211833947,73635043,0.0,1.0
2020-06-03,310.24,313.22,309.94,312.18,305.220430802,91750087,0.0,1.0
2020-06-04,311.11,313.0,309.08,311.36,304.418711431,75471787,0.0,1.0
2020-06-05,317.23,321.27,317.16,319.34,312.220809701,150302461,0.0,1.0
2020-06-08,320.22,323.41,319.63,323.2,315.994756984,73310274,0.0,1.0
2020-06-09,320.3,323.28,319.36,320.79,313.638484198,77174695,0.0,1.0
2020-06-10,321.42,322.39,318.22,319.0,311.888389474,93944722,0.0,1.0
2020-06-11,311.46,312.15,300.01,300.61,293.908366018,208285190,0.0,1.0
2020-06-12,308.24,309.08,298.6,304.21,297.428109598,194450402,0.0,1.0
2020-06-15,298.02,308.28,296.74,307.05,300.2047962,134968796,0.0,1.0
2020-06-16,315.48,315.64,307.67,312.96,305.983041911,137048347,0.0,1.0
2020-06-17,314.07,314.39,310.86,311.66,304.712023396,82814592,0.0,1.0
2020-06-18,310.01,312.3,309.51,311.78,304.829348182,80355844,0.0,1.0
2020-06-19,314.17,314.38,306.53,308.64,303.095133367,135211345,1.3662,1.0
2020-06-22,307.99,311.05,306.75,310.62,305.039561711,74007212,0.0,1.0
2020-06-23,313.49,314.5,311.61,312.05,306.443871071,68066900,0.0,1.0
2020-06-24,309.84,310.51,302.1,304.09,298.626876314,132067392,0.0,1.0
2020-06-25,303.47,307.64,301.28,307.35,301.82830884,88966079,0.0,1.0
2020-06-26,306.16,306.39,299.42,300.05,294.659456865,127811745,0.0,1.0
2020-06-29,301.41,304.61,298.93,304.46,298.990229086,79773260,0.0,1.0
2020-06-30,303.99,310.2,303.82,308.36,302.820163703,112828251,0.0,1.0
2020-07-01,309.57,311.89,309.07,310.52,304.94135826,71910372,0.0,1.0
2020-07-02,314.24,315.7,311.51,312.23,306.620637284,69214995,0.0,1.0
2020-07-06,316.37,317.68,315.56,317.05,311.354043656,61149258,0.0,1.0
2020-07-07,315.38,317.52,313.37,313.78,308.142790785,82583406,0.0,1.0
2020-07-08,314.61,316.3,312.7,316.18,310.499673627,54202602,0.0,1.0
2020-07-09,316.84,317.1,310.68,314.38,308.732011496,83079092,0.0,1.0
2020-07-10,314.31,317.88,312.76,317.59,311.884342296,57454436,0.0,1.0
2020-07-13,320.13,322.71,314.13,314.84,309.183747374,102549097,0.0,1.0
2020-07-14,313.3,319.76,312.0,318.92,313.190448204,92791839,0.0,1.0
2020-07-15,322.41,323.04,319.27,321.85,316.067809339,86921534,0.0,1.0
2020-07-16,319.79,321.28,319.09,320.79,315.026852751,54433414,0.0,1.0
2020-07-17,321.88,322.57,319.74,321.72,315.940144851,64421802,0.0,1.0
2020-07-20,321.43,325.13,320.62,324.32,318.493434596,56150230,0.0,1.0
2020-07-21,326.45,326.93,323.94,325.01,319.171038413,57245315,0.0,1.0
2020-07-22,324.62,327.2,324.5,326.86,320.98780227,57792915,0.0,1.0
2020-07-23,326.47,327.23,321.48,322.96,317.157867653,75737989,0.0,1.0
2020-07-24,320.95,321.99,319.246,320.88,315.115235857,73766597,0.0,1.0
2020-07-27,321.63,323.41,320.775,323.22,317.413196627,48292970,0.0,1.0
2020-07-28,322.43,323.64,320.85,321.17,315.400025867,57494979,0.0,1.0
2020-07-29,322.12,325.73,322.075,325.12,319.27906221,48454159,0.0,1.0
2020-07-30,321.9,324.41,319.64,323.96,318.13990217,61861714,0.0,1.0
2020-07-31,325.9,326.63,321.33,326.52,320.653910534,85210755,0.0,1.0
2020-08-03,328.32,329.62,327.73,328.79,322.883128888,53077948,0.0,1.0
2020-08-04,327.86,330.06,327.86,330.06,324.130312724,41917893,0.0,1.0
2020-08-05,331.47,332.39,331.18,332.11,326.143483484,42866354,0.0,1.0
2020-08-06,331.4799,334.46,331.13,334.33,328.323600113,43679447,0.0,1.0
