,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2018-01-18,16.9,16.9,16.9,16.9,16.9,100,0.0,1.0
2018-01-19,16.9,16.9,16.9,16.9,16.9,1,0.0,1.0
2018-01-22,16.72,16.72,16.72,16.72,16.72,100,0.0,1.0
2018-01-23,16.94,16.95,16.94,16.95,16.95,1200,0.0,1.0
2018-01-24,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-01-25,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-01-26,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-01-29,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-01-30,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-01-31,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-01,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-02,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-05,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-06,16.95,16.95,16.95,16.95,16.95,2,0.0,1.0
2018-02-07,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-08,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-09,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-12,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-13,16.95,16.95,16.95,16.95,16.95,0,0.0,1.0
2018-02-14,21.28,21.28,20.83,20.83,20.83,901,0.0,1.0
2018-02-15,20.43,20.43,20.43,20.43,20.43,100,0.0,1.0
2018-02-16,20.43,20.43,20.43,20.43,20.43,0,0.0,1.0
2018-02-20,20.43,20.43,20.43,20.43,20.43,0,0.0,1.0
2018-02-21,20.38,20.38,20.38,20.38,20.38,100,0.0,1.0
2018-02-22,20.38,20.38,20.38,20.38,20.38,0,0.0,1.0
2018-02-23,20.38,20.38,20.38,20.38,20.38,0,0.0,1.0
2018-02-26,19.57,19.57,19.57,19.57,19.57,100,0.0,1.0
2018-02-27,19.57,19.57,19.57,19.57,19.57,1,0.0,1.0
2018-02-28,19.57,19.57,19.57,19.57,19.57,0,0.0,1.0
2018-03-01,21.22,21.47,21.22,21.47,21.47,700,0.0,1.0
2018-03-02,22.0,22.0,21.54,21.54,21.54,1600,0.0,1.0
2018-03-05,21.54,21.54,21.54,21.54,21.54,0,0.0,1.0
